"","m5",""
"","b","se"
"_t","",""
"Elite","1.720371",".1017068"
"Female",".9064652",".0500484"
"White","1.453947",".0881016"
"Insider","1.427214",".082134"
"log_Pub_Cum",".6641718",".0527071"
"HHI",".9738847",".0358436"
"Novelty","1.08861",".0336082"
"Consistency","1.752172",".1649872"
"Consistency_Square",".8680565",".0319913"
"c.HHI#c.log_Pub_Cum",".9960898",".0225474"
"c.Novelty#c.log_Pub_Cum","1.008292",".0240723"
"c.Consistency#c.log_Pub_Cum","1.761531",".1575192"
"c.Consistency_Square#c.log_Pub_Cum",".9088958",".0256789"
"T1",".7354054",".0730016"
"T2","1.569208",".1202215"
"T3",".7507339",".0752651"
"T4","1.058634",".0871964"
"T5",".996673",".0906682"
"T6",".8760894",".0713648"
"T7","1.154515",".1182441"
"T8",".9958168",".0912545"
"T9",".8051414",".0822084"
"T10",".9672704",".0882122"
"T11",".9367038",".0898721"
"T12","1.057028",".0913098"
"T13",".7563561",".0786977"
"T14",".6701012",".0725466"
"T15","1.089919",".093697"
"T16",".8413784",".0756415"
"T17",".9315345",".0833867"
"T18","1.002932",".0823705"
"T19",".7935262",".0781755"
"T20","1.045415",".0882822"
"T21",".859297",".0830918"
"T22",".815871",".0822167"
"T23",".9276455",".0852663"
"T24",".8888505",".0896471"
"T25",".9040584",".0903006"
"T26","1.009018",".1026468"
"T27","1.071412",".1003437"
"T28",".979754",".0875097"
"T29","1.053682",".0890052"
"T30",".8886325",".0869286"
"T31","1.04515",".0871593"
"T32",".7509735",".0719473"
"T33",".9124521",".077172"
"T34","1.316323",".1061618"
"T35","1.051333",".0976803"
"T36",".6519238",".0642789"
"T37",".9906264",".099817"
"T38","1.206989",".0971463"
"T39","1.202041",".1084329"
"T40",".7882966",".0737822"
"T41","1.160461",".1058241"
"T42","1.107027",".0992463"
"T43","1.07339",".0852913"
"T44","1.122261",".1021153"
"T45","1.185527",".1056443"
"T46",".8153866",".0856942"
"T48","1.243575",".0972335"
"T49",".94801",".0961749"
"T50","1.292817",".0996963"
"T51",".9517154",".0757494"
"T52","1.168225",".1025669"
"T53",".8881404",".0829274"
"T54",".9288864",".0865846"
"T55","1.152285",".1012661"
"T56",".8573428",".0824982"
"T57",".8555872",".08235"
"T58","1.387259",".1045402"
"T59",".7164395",".0697544"
"T60",".957607",".085424"
"N","79137",""
